timestamp,equipment_id,sensor_data,failure_mode,severity,actions_taken,outcome,resolution_time_hours
2025-08-01T04:49:47.159441+00:00,pump_P-23,"{""vibration_rms"": 5.991, ""temp_c"": 83.68, ""pressure_bar"": 11.87, ""flow_rate_lpm"": 322.0}",scheduled_maintenance,high,Performed scheduled PM; replaced consumables; updated CMMS notes.,Escalated; further inspection required.,3.88
2025-10-03T13:01:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 4.463, ""temp_c"": 110.1, ""pressure_bar"": 2.81, ""flow_rate_lpm"": 260.3}",overheating,high,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Mitigated; monitor for 48 hours.,3.18
2025-06-28T10:52:47.159441+00:00,pump_P-07,"{""vibration_rms"": 3.877, ""temp_c"": 92.28, ""pressure_bar"": 7.01, ""flow_rate_lpm"": 28.7}",scheduled_maintenance,low,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,1.16
2025-05-17T11:32:47.159441+00:00,pump_P-23,"{""vibration_rms"": 5.413, ""temp_c"": 135.03, ""pressure_bar"": 6.3, ""flow_rate_lpm"": 74.8}",overheating,high,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Escalated; further inspection required.,8.27
2025-08-12T12:22:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 3.779, ""temp_c"": 115.68, ""pressure_bar"": 2.04, ""flow_rate_lpm"": 69.0}",bearing_failure,medium,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Escalated; further inspection required.,1.39
2025-12-19T12:04:47.159441+00:00,pump_P-07,"{""vibration_rms"": 0.996, ""temp_c"": 66.57, ""pressure_bar"": 0.58, ""flow_rate_lpm"": 68.2}",cavitation,medium,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,1.44
2026-03-27T02:05:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 4.771, ""temp_c"": 60.78, ""pressure_bar"": 8.18, ""flow_rate_lpm"": 65.5}",scheduled_maintenance,medium,Performed scheduled PM; replaced consumables; updated CMMS notes.,Escalated; further inspection required.,0.94
2026-02-04T20:04:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 2.269, ""temp_c"": 102.35, ""pressure_bar"": 3.5, ""flow_rate_lpm"": 99.2}",overheating,high,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Escalated; further inspection required.,6.15
2025-08-25T08:35:47.159441+00:00,pump_P-07,"{""vibration_rms"": 2.423, ""temp_c"": 46.82, ""pressure_bar"": 7.09, ""flow_rate_lpm"": 230.0}",sensor_malfunction,medium,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,1.76
2026-03-09T23:50:47.159441+00:00,pump_P-23,"{""vibration_rms"": 3.427, ""temp_c"": 57.55, ""pressure_bar"": 3.6, ""flow_rate_lpm"": 394.8}",sensor_malfunction,medium,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,2.02
2025-12-12T20:24:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 7.435, ""temp_c"": 103.52, ""pressure_bar"": 13.93, ""flow_rate_lpm"": 281.3}",bearing_failure,medium,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Resolved; equipment returned to service.,0.53
2026-01-23T22:24:47.159441+00:00,pump_P-07,"{""vibration_rms"": 3.427, ""temp_c"": 78.61, ""pressure_bar"": 5.91, ""flow_rate_lpm"": 314.0}",lubrication_issue,high,Checked oil level; replaced filter; flushed line; refilled per spec.,Mitigated; monitor for 48 hours.,6.5
2025-07-10T08:39:47.159441+00:00,pump_P-23,"{""vibration_rms"": 5.731, ""temp_c"": 102.96, ""pressure_bar"": 8.35, ""flow_rate_lpm"": 361.4}",sensor_malfunction,low,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,2.46
2025-11-29T19:05:47.159441+00:00,pump_P-23,"{""vibration_rms"": 1.419, ""temp_c"": 117.73, ""pressure_bar"": 7.28, ""flow_rate_lpm"": 319.1}",overheating,high,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,6.63
2025-07-10T19:17:47.159441+00:00,pump_P-23,"{""vibration_rms"": 1.54, ""temp_c"": 111.27, ""pressure_bar"": 3.16, ""flow_rate_lpm"": 378.6}",sensor_malfunction,medium,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Mitigated; monitor for 48 hours.,1.41
2025-11-09T12:28:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 0.877, ""temp_c"": 81.26, ""pressure_bar"": 13.81, ""flow_rate_lpm"": 310.6}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,1.09
2026-01-15T19:16:47.159441+00:00,pump_P-07,"{""vibration_rms"": 2.489, ""temp_c"": 100.32, ""pressure_bar"": 1.6, ""flow_rate_lpm"": 357.0}",lubrication_issue,medium,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,2.45
2026-02-02T05:49:47.159441+00:00,pump_P-23,"{""vibration_rms"": 1.522, ""temp_c"": 29.93, ""pressure_bar"": 2.89, ""flow_rate_lpm"": 52.6}",lubrication_issue,high,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,7.92
2026-03-24T19:06:47.159441+00:00,motor_M-12,"{""vibration_rms"": 3.496, ""temp_c"": 88.54, ""pressure_bar"": 13.29, ""flow_rate_lpm"": 298.1}",overheating,medium,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Mitigated; monitor for 48 hours.,2.33
2026-01-07T20:06:47.159441+00:00,motor_M-12,"{""vibration_rms"": 1.97, ""temp_c"": 112.4, ""pressure_bar"": 0.5, ""flow_rate_lpm"": 95.4}",cavitation,high,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,5.8
2025-04-29T07:39:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 0.475, ""temp_c"": 58.56, ""pressure_bar"": 11.81, ""flow_rate_lpm"": 333.5}",scheduled_maintenance,critical,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,6.56
2025-08-08T22:41:47.159441+00:00,motor_M-12,"{""vibration_rms"": 0.683, ""temp_c"": 109.88, ""pressure_bar"": 5.29, ""flow_rate_lpm"": 294.6}",overheating,critical,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,8.75
2025-11-10T03:30:47.159441+00:00,pump_P-23,"{""vibration_rms"": 2.02, ""temp_c"": 83.85, ""pressure_bar"": 0.61, ""flow_rate_lpm"": 90.8}",cavitation,high,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Mitigated; monitor for 48 hours.,11.36
2025-08-15T20:08:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 0.16, ""temp_c"": 88.23, ""pressure_bar"": 1.28, ""flow_rate_lpm"": 53.8}",cavitation,low,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,1.34
2025-12-23T07:10:47.159441+00:00,motor_M-12,"{""vibration_rms"": 4.658, ""temp_c"": 107.1, ""pressure_bar"": 13.35, ""flow_rate_lpm"": 312.8}",sensor_malfunction,critical,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Resolved; equipment returned to service.,10.49
2026-03-20T23:26:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 0.923, ""temp_c"": 119.76, ""pressure_bar"": 10.87, ""flow_rate_lpm"": 32.1}",sensor_malfunction,high,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Mitigated; monitor for 48 hours.,5.25
2025-07-08T08:17:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 1.827, ""temp_c"": 101.65, ""pressure_bar"": 9.56, ""flow_rate_lpm"": 340.0}",overheating,low,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,1.89
2025-12-30T12:02:47.159441+00:00,pump_P-07,"{""vibration_rms"": 0.352, ""temp_c"": 86.7, ""pressure_bar"": 10.31, ""flow_rate_lpm"": 310.7}",lubrication_issue,medium,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,1.05
2026-01-22T04:31:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 3.98, ""temp_c"": 48.77, ""pressure_bar"": 2.67, ""flow_rate_lpm"": 258.8}",bearing_failure,high,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Resolved; equipment returned to service.,7.62
2026-01-06T23:22:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 3.214, ""temp_c"": 30.55, ""pressure_bar"": 13.98, ""flow_rate_lpm"": 203.9}",lubrication_issue,medium,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,1.0
2025-11-22T20:44:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 4.715, ""temp_c"": 77.91, ""pressure_bar"": 14.43, ""flow_rate_lpm"": 274.6}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,0.66
2026-02-21T07:34:47.159441+00:00,pump_P-23,"{""vibration_rms"": 3.753, ""temp_c"": 106.55, ""pressure_bar"": 4.0, ""flow_rate_lpm"": 249.7}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Mitigated; monitor for 48 hours.,1.63
2025-11-05T18:53:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 0.735, ""temp_c"": 136.15, ""pressure_bar"": 14.5, ""flow_rate_lpm"": 80.1}",overheating,medium,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Mitigated; monitor for 48 hours.,2.13
2025-12-09T03:01:47.159441+00:00,pump_P-23,"{""vibration_rms"": 5.769, ""temp_c"": 86.04, ""pressure_bar"": 7.34, ""flow_rate_lpm"": 227.1}",lubrication_issue,high,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,4.4
2025-09-07T04:24:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 4.093, ""temp_c"": 37.12, ""pressure_bar"": 1.52, ""flow_rate_lpm"": 61.0}",cavitation,high,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,6.39
2026-01-26T22:59:47.159441+00:00,pump_P-23,"{""vibration_rms"": 2.146, ""temp_c"": 120.88, ""pressure_bar"": 5.62, ""flow_rate_lpm"": 109.5}",overheating,critical,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Mitigated; monitor for 48 hours.,6.24
2026-03-12T10:39:47.159441+00:00,pump_P-23,"{""vibration_rms"": 0.596, ""temp_c"": 77.51, ""pressure_bar"": 1.43, ""flow_rate_lpm"": 173.3}",sensor_malfunction,medium,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Mitigated; monitor for 48 hours.,1.54
2025-10-10T08:18:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 1.595, ""temp_c"": 104.62, ""pressure_bar"": 4.52, ""flow_rate_lpm"": 193.3}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,0.59
2025-12-13T05:44:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 4.714, ""temp_c"": 95.79, ""pressure_bar"": 2.93, ""flow_rate_lpm"": 89.9}",cavitation,low,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,2.46
2025-10-18T00:41:47.159441+00:00,pump_P-23,"{""vibration_rms"": 3.624, ""temp_c"": 33.03, ""pressure_bar"": 1.91, ""flow_rate_lpm"": 73.2}",cavitation,medium,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Resolved; equipment returned to service.,2.4
2025-07-06T01:14:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 5.812, ""temp_c"": 25.98, ""pressure_bar"": 2.8, ""flow_rate_lpm"": 97.7}",cavitation,high,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Mitigated; monitor for 48 hours.,9.3
2026-02-15T13:18:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 2.715, ""temp_c"": 89.09, ""pressure_bar"": 14.05, ""flow_rate_lpm"": 316.1}",lubrication_issue,critical,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,3.43
2025-05-15T11:00:47.159441+00:00,pump_P-23,"{""vibration_rms"": 0.631, ""temp_c"": 39.8, ""pressure_bar"": 1.83, ""flow_rate_lpm"": 95.1}",lubrication_issue,medium,Checked oil level; replaced filter; flushed line; refilled per spec.,Mitigated; monitor for 48 hours.,1.48
2025-09-22T17:11:47.159441+00:00,pump_P-23,"{""vibration_rms"": 0.989, ""temp_c"": 100.3, ""pressure_bar"": 1.97, ""flow_rate_lpm"": 122.1}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,2.41
2025-09-02T18:30:47.159441+00:00,pump_P-23,"{""vibration_rms"": 5.921, ""temp_c"": 53.56, ""pressure_bar"": 7.62, ""flow_rate_lpm"": 310.5}",lubrication_issue,high,Checked oil level; replaced filter; flushed line; refilled per spec.,Resolved; equipment returned to service.,5.83
2025-04-19T23:10:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 4.541, ""temp_c"": 49.89, ""pressure_bar"": 8.09, ""flow_rate_lpm"": 344.3}",bearing_failure,high,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Mitigated; monitor for 48 hours.,6.59
2026-01-06T08:45:47.159441+00:00,pump_P-23,"{""vibration_rms"": 1.859, ""temp_c"": 61.09, ""pressure_bar"": 4.85, ""flow_rate_lpm"": 68.5}",sensor_malfunction,low,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,0.51
2025-09-17T02:23:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 3.61, ""temp_c"": 64.87, ""pressure_bar"": 2.48, ""flow_rate_lpm"": 205.8}",scheduled_maintenance,medium,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,2.45
2025-08-29T15:01:47.159441+00:00,motor_M-12,"{""vibration_rms"": 1.815, ""temp_c"": 34.86, ""pressure_bar"": 1.48, ""flow_rate_lpm"": 90.8}",cavitation,critical,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Mitigated; monitor for 48 hours.,10.68
2026-03-15T13:40:47.159441+00:00,pump_P-23,"{""vibration_rms"": 2.332, ""temp_c"": 42.81, ""pressure_bar"": 14.75, ""flow_rate_lpm"": 398.7}",sensor_malfunction,medium,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,1.25
2026-03-02T10:22:47.159441+00:00,motor_M-12,"{""vibration_rms"": 6.078, ""temp_c"": 52.78, ""pressure_bar"": 9.82, ""flow_rate_lpm"": 41.5}",bearing_failure,medium,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Resolved; equipment returned to service.,1.51
2025-05-21T21:54:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 2.48, ""temp_c"": 43.42, ""pressure_bar"": 14.56, ""flow_rate_lpm"": 49.5}",scheduled_maintenance,medium,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,2.16
2025-07-03T01:11:47.159441+00:00,motor_M-12,"{""vibration_rms"": 4.861, ""temp_c"": 38.53, ""pressure_bar"": 1.07, ""flow_rate_lpm"": 86.2}",cavitation,low,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Escalated; further inspection required.,1.15
2025-07-03T17:19:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 8.414, ""temp_c"": 81.98, ""pressure_bar"": 6.44, ""flow_rate_lpm"": 115.1}",bearing_failure,critical,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Escalated; further inspection required.,7.75
2025-07-25T13:05:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 4.18, ""temp_c"": 80.89, ""pressure_bar"": 2.35, ""flow_rate_lpm"": 91.2}",cavitation,medium,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Mitigated; monitor for 48 hours.,2.46
2025-04-08T17:09:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 4.747, ""temp_c"": 117.29, ""pressure_bar"": 10.01, ""flow_rate_lpm"": 16.2}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Mitigated; monitor for 48 hours.,2.07
2026-01-03T21:55:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 6.715, ""temp_c"": 24.86, ""pressure_bar"": 2.97, ""flow_rate_lpm"": 215.7}",bearing_failure,medium,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Mitigated; monitor for 48 hours.,0.96
2025-05-31T01:11:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 0.231, ""temp_c"": 105.93, ""pressure_bar"": 3.02, ""flow_rate_lpm"": 178.8}",overheating,medium,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Escalated; further inspection required.,1.5
2025-05-26T16:21:47.159441+00:00,motor_M-12,"{""vibration_rms"": 4.354, ""temp_c"": 38.94, ""pressure_bar"": 3.6, ""flow_rate_lpm"": 397.5}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,2.08
2026-03-04T06:32:47.159441+00:00,motor_M-12,"{""vibration_rms"": 6.483, ""temp_c"": 116.95, ""pressure_bar"": 11.98, ""flow_rate_lpm"": 180.8}",bearing_failure,medium,Inspected bearing housing; replaced bearing; verified alignment; relubricated.,Resolved; equipment returned to service.,0.99
2026-02-12T11:21:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 2.041, ""temp_c"": 127.36, ""pressure_bar"": 11.83, ""flow_rate_lpm"": 277.3}",overheating,low,Checked cooling; cleaned vents; reduced load; verified thermal sensors.,Resolved; equipment returned to service.,2.4
2025-05-28T02:21:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 5.021, ""temp_c"": 61.05, ""pressure_bar"": 3.4, ""flow_rate_lpm"": 91.3}",sensor_malfunction,critical,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,4.79
2025-11-01T23:54:47.159441+00:00,turbofan_TF-01,"{""vibration_rms"": 4.242, ""temp_c"": 90.18, ""pressure_bar"": 6.06, ""flow_rate_lpm"": 107.7}",scheduled_maintenance,critical,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,10.09
2025-04-12T08:44:47.159441+00:00,pump_P-07,"{""vibration_rms"": 3.86, ""temp_c"": 24.04, ""pressure_bar"": 3.98, ""flow_rate_lpm"": 208.8}",scheduled_maintenance,critical,Performed scheduled PM; replaced consumables; updated CMMS notes.,Mitigated; monitor for 48 hours.,3.41
2025-05-03T22:19:47.159441+00:00,compressor_C-02,"{""vibration_rms"": 3.349, ""temp_c"": 60.6, ""pressure_bar"": 8.46, ""flow_rate_lpm"": 384.9}",sensor_malfunction,critical,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Mitigated; monitor for 48 hours.,2.43
2025-09-02T17:38:47.159441+00:00,motor_M-12,"{""vibration_rms"": 3.252, ""temp_c"": 77.96, ""pressure_bar"": 2.15, ""flow_rate_lpm"": 314.7}",sensor_malfunction,critical,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Escalated; further inspection required.,5.51
2025-10-16T20:47:47.159441+00:00,motor_M-12,"{""vibration_rms"": 4.965, ""temp_c"": 113.4, ""pressure_bar"": 9.06, ""flow_rate_lpm"": 258.6}",sensor_malfunction,low,Re-seated sensor; checked wiring; replaced faulty transducer; recalibrated.,Mitigated; monitor for 48 hours.,0.9
2025-04-06T16:56:47.159441+00:00,motor_M-12,"{""vibration_rms"": 2.881, ""temp_c"": 115.37, ""pressure_bar"": 1.48, ""flow_rate_lpm"": 66.3}",cavitation,medium,Adjusted inlet conditions; inspected suction line; removed blockage; re-tested.,Resolved; equipment returned to service.,1.24
2025-11-23T08:21:47.159441+00:00,motor_M-12,"{""vibration_rms"": 5.067, ""temp_c"": 118.77, ""pressure_bar"": 2.26, ""flow_rate_lpm"": 15.1}",lubrication_issue,low,Checked oil level; replaced filter; flushed line; refilled per spec.,Escalated; further inspection required.,1.13
